Sentence,Aspect,Polarity
và nhờ anh grab giao hàng dùm gồm hộp nui xào bò mì tươi xào hải_sản .,['FOOD#STYLE&OPTIONS'],[{'FOOD#STYLE&OPTIONS': 'neutral'}]
chỉ có_điều hơi ngọt so với mình .,['DRINKS#QUALITY'],[{'DRINKS#QUALITY': 'neutral'}]
"tôm rụng đâu , bò mỹ hôi hôi chả dám ăn .","['FOOD#QUALITY', 'FOOD#STYLE&OPTIONS']","[{'FOOD#QUALITY': 'negative'}, {'FOOD#STYLE&OPTIONS': 'neutral'}]"
"địa_điểm khá rộng_rãi thoáng mát tầng ăn_liền nên liên_hoan tục tùng thoải_mái , chỗ để xe_cộ thì không bao_giờ phải lo luôn ấy .","['AMBIENCE#GENERAL', 'RESTAURANT#MISCELLANEOUS']","[{'AMBIENCE#GENERAL': 'positive'}, {'RESTAURANT#MISCELLANEOUS': 'positive'}]"
"giữ xe , bãi xe đi bộ vô khá mệt vì mình đi buổi trưa .",['RESTAURANT#MISCELLANEOUS'],[{'RESTAURANT#MISCELLANEOUS': 'negative'}]
"từ ngoài thấy quán rất rộng , toả sáng góc luôn đi ngang lúc_nào cũng đông khách nên nghĩ là thức uống ở đây ngon nên mới vào .","['RESTAURANT#GENERAL', 'DRINKS#QUALITY', 'AMBIENCE#GENERAL']","[{'RESTAURANT#GENERAL': 'positive'}, {'DRINKS#QUALITY': 'positive'}, {'AMBIENCE#GENERAL': 'positive'}]"
với nên book chỗ trước vì tầm mấy bàn thôi nên ko book là ko có dư chỗ luôn .,['RESTAURANT#GENERAL'],[{'RESTAURANT#GENERAL': 'neutral'}]
đùa chứ ngon phết mà no ặc è .,['RESTAURANT#GENERAL'],[{'RESTAURANT#GENERAL': 'positive'}]
"gà thì ngon , nói_chung tổng_quát là khá ok .","['FOOD#QUALITY', 'RESTAURANT#GENERAL']","[{'FOOD#QUALITY': 'positive'}, {'RESTAURANT#GENERAL': 'positive'}]"
"ăn thịt bò vào thì cảm_giác hơi cứng , nhiều dầu_mỡ .",['FOOD#QUALITY'],[{'FOOD#QUALITY': 'negative'}]
vì phục_vụ tận_tình vs kgian sang_trọng và lịch_sự nên giá_cả cũng khá cao .,"['SERVICE#GENERAL', 'AMBIENCE#GENERAL', 'RESTAURANT#PRICES']","[{'SERVICE#GENERAL': 'positive'}, {'AMBIENCE#GENERAL': 'positive'}, {'RESTAURANT#PRICES': 'negative'}]"
giá cách ghi giá của quán làm mình hiểu nhầm .,['RESTAURANT#PRICES'],[{'RESTAURANT#PRICES': 'negative'}]
"trà pha hơi ngọt nên bạn nhân_viên mang vào cho thêm ít trà_nữa , rất ok .",['DRINKS#QUALITY'],[{'DRINKS#QUALITY': 'positive'}]
"miếng bò mềm ngon_ăn thích lắm , salad cũng ngon .","['FOOD#QUALITY', 'FOOD#STYLE&OPTIONS']","[{'FOOD#QUALITY': 'positive'}, {'FOOD#STYLE&OPTIONS': 'neutral'}]"
"mình rất thích trà sữa chân trâu , lần này có người chọn chân trâu trắng , mình tình_cờ uống ly này mới phát_hiện bao ngon luôn .",['DRINKS#QUALITY'],[{'DRINKS#QUALITY': 'positive'}]
nói_chung chưa từng thất_vọng với đen đá bao_giờ .,['RESTAURANT#GENERAL'],[{'RESTAURANT#GENERAL': 'positive'}]
shipper cũng nhẹ_nhàng .,['SERVICE#GENERAL'],[{'SERVICE#GENERAL': 'positive'}]
một dĩa đầy ú nụ luôn .,['FOOD#STYLE&OPTIONS'],[{'FOOD#STYLE&OPTIONS': 'positive'}]
các loại cơm cuộn ở đây rất đa_dạng mỗi lần mình gọi loại chưa thấy cái nào dở hết .,"['FOOD#STYLE&OPTIONS', 'FOOD#QUALITY']","[{'FOOD#STYLE&OPTIONS': 'positive'}, {'FOOD#QUALITY': 'positive'}]"
không_gian quán hơi nhỏ chắc tầm vài bàn nên mình nghĩ chủ_yếu mang đi là chính .,['AMBIENCE#GENERAL'],[{'AMBIENCE#GENERAL': 'negative'}]
"nhân_viên ok , không_gian đẹp nhưng hơi nhỏ , khá âm cúng , sắp_xếp món ăn đẹp .","['SERVICE#GENERAL', 'AMBIENCE#GENERAL', 'FOOD#STYLE&OPTIONS']","[{'SERVICE#GENERAL': 'positive'}, {'AMBIENCE#GENERAL': 'neutral'}, {'FOOD#STYLE&OPTIONS': 'positive'}]"
mình ăn bò hoài hơi ngán rồi lần sau mình sẽ thử các món mì và salad,['FOOD#STYLE&OPTIONS'],[{'FOOD#STYLE&OPTIONS': 'neutral'}]
"hôm_nay , mình đến quán kêu xong bánh thì có chị chạy tới mua mang về sau mình nhưng chị ấy lại có bánh trước mình và những khách sau cũng có bánh trước .",['SERVICE#GENERAL'],[{'SERVICE#GENERAL': 'negative'}]
"chỉ có túi trà tiểu long châu kia thì đắt là lận , nhưng nghe nói tốt cho người già nên chúng_mình mua về biếu người_lớn .","['DRINKS#PRICES', 'DRINKS#QUALITY']","[{'DRINKS#PRICES': 'negative'}, {'DRINKS#QUALITY': 'positive'}]"
"mình từng ăn rất nhiều lần pepperonis ở_trần đăng ninh , ko bao h chán ntn .","['LOCATION#GENERAL', 'RESTAURANT#GENERAL']","[{'LOCATION#GENERAL': 'neutral'}, {'RESTAURANT#GENERAL': 'negative'}]"
"bánh da lợn thì bé xinh , size vừa ăn , nhân đậu_xanh ngon , bánh dai dai nhẹ nhẹ rất đẹp_mắt .","['FOOD#STYLE&OPTIONS', 'FOOD#QUALITY']","[{'FOOD#STYLE&OPTIONS': 'positive'}, {'FOOD#QUALITY': 'positive'}]"
"quán nằm ở vị_trí thuận_lợi , gần bitexco , phong_cách quán kiểu vintage , trang_trí ổn , bắt_mắt .","['LOCATION#GENERAL', 'AMBIENCE#GENERAL']","[{'LOCATION#GENERAL': 'positive'}, {'AMBIENCE#GENERAL': 'positive'}]"
"không_gian quán khá cũ , xuống_cấp nhìn không thoải_mái cho lắm .",['AMBIENCE#GENERAL'],[{'AMBIENCE#GENERAL': 'negative'}]
nếu chấm điểm mình chỉ chấm .,['RESTAURANT#GENERAL'],[{'RESTAURANT#GENERAL': 'neutral'}]
vị_trí dễ thấy lắm gần gongcha an_dương_vương í .,['LOCATION#GENERAL'],[{'LOCATION#GENERAL': 'positive'}]
kết quán này nhất ở huế lun .,['RESTAURANT#GENERAL'],[{'RESTAURANT#GENERAL': 'positive'}]
quán trong hẻm hơi khuất nhờ có bảng chỉ nên mới biết .,['LOCATION#GENERAL'],[{'LOCATION#GENERAL': 'negative'}]
ly của mình sugar đá mình thấy vừa_rồi nhưng_mà chọn full đá thì sẽ lạnh lâu hơn nhỉ .,['DRINKS#STYLE&OPTIONS'],[{'DRINKS#STYLE&OPTIONS': 'neutral'}]
"topblade gr sốt bbq sốt mushroo m . coca light tẩy , cơm pilaf , khoai_tây chiên là đủ cho bữa trưa .","['FOOD#PRICES', 'FOOD#STYLE&OPTIONS']","[{'FOOD#PRICES': 'neutral'}, {'FOOD#STYLE&OPTIONS': 'neutral'}]"
"gà với sườn ngon , không bị khô cũng không cay .","['FOOD#STYLE&OPTIONS', 'FOOD#QUALITY']","[{'FOOD#STYLE&OPTIONS': 'neutral'}, {'FOOD#QUALITY': 'positive'}]"
"trà sữa mr.hí ngon , dễ uống , hợp_khẩu vị với mình .",['DRINKS#QUALITY'],[{'DRINKS#QUALITY': 'positive'}]
sẽ ghé lại vì steak cực ngonnnnn .,['FOOD#QUALITY'],[{'FOOD#QUALITY': 'positive'}]
"dịch_vụ phục_vụ nhanh , chuyên_nghiệp .",['SERVICE#GENERAL'],[{'SERVICE#GENERAL': 'positive'}]
"nấm đông cô và rong biển tươi ngon , thơm , cắn vào thấy vị ngọt thực_vật .","['FOOD#STYLE&OPTIONS', 'FOOD#QUALITY']","[{'FOOD#STYLE&OPTIONS': 'neutral'}, {'FOOD#QUALITY': 'positive'}]"
ở đây cũng có bán thêm nước rễ tranh hoặc trà đá .,['DRINKS#STYLE&OPTIONS'],[{'DRINKS#STYLE&OPTIONS': 'neutral'}]
"xôi không nóng , chỉ hơi ấm , vón cục , nấm ngâm thì cực_kỳ chua và mặn .","['FOOD#STYLE&OPTIONS', 'FOOD#QUALITY']","[{'FOOD#STYLE&OPTIONS': 'neutral'}, {'FOOD#QUALITY': 'negative'}]"
mỗi viên có giá tầm – k tuỳ loại .,['FOOD#PRICES'],[{'FOOD#PRICES': 'neutral'}]
không_gian kiểu minimalism sang chảnh .,['AMBIENCE#GENERAL'],[{'AMBIENCE#GENERAL': 'positive'}]
lần sau sẽ quay lại quán đó .,['RESTAURANT#GENERAL'],[{'RESTAURANT#GENERAL': 'positive'}]
nhưng với vị_trí trên phố dễ tìm và view đẹp như thế_này thì xứng_đáng mà phải không nào y .,"['LOCATION#GENERAL', 'AMBIENCE#GENERAL']","[{'LOCATION#GENERAL': 'positive'}, {'AMBIENCE#GENERAL': 'positive'}]"
nhân_viên chu_đáo .,['SERVICE#GENERAL'],[{'SERVICE#GENERAL': 'positive'}]
"nhân_viên thì cũng lịch_sự , khách vào , ra đều chào , nhưng tụi mình thấy không thân_thiện lắm .",['SERVICE#GENERAL'],[{'SERVICE#GENERAL': 'neutral'}]
lần nào đi aeon là cũng y_như_rằng phải quất cây kem tươi .,"['FOOD#PRICES', 'FOOD#QUALITY']","[{'FOOD#PRICES': 'neutral'}, {'FOOD#QUALITY': 'positive'}]"
cửa_hàng de tìm ngay đầu phố hàng gai cạnh tiệm bánh king roti .,['LOCATION#GENERAL'],[{'LOCATION#GENERAL': 'positive'}]
woodpecker như cứu_rỗi tâm_hồn mình khi thèm một cốc đồ uống nhẹ chứ không phải là trà sữa nữa .,['RESTAURANT#GENERAL'],[{'RESTAURANT#GENERAL': 'positive'}]
"riêu làm cũng ngon , một tô bún còn có cà_chua , đậu_hũ nữa .","['FOOD#STYLE&OPTIONS', 'FOOD#QUALITY']","[{'FOOD#STYLE&OPTIONS': 'positive'}, {'FOOD#QUALITY': 'positive'}]"
trong suốt quá_trình ăn_không nói_chuyện không cười không nhìn sang chỗ khác chĩ tập_trung lo ăn vì quá ngon luôn .,['FOOD#QUALITY'],[{'FOOD#QUALITY': 'positive'}]
"mình mua mang về chạy xe giữa trưa cả p thế_mà về uống vẫn rất đậm_đà , thơm ngon nhé",['DRINKS#QUALITY'],[{'DRINKS#QUALITY': 'positive'}]
thử món váng sữa phô_mai khá ngon .,['DRINKS#QUALITY'],[{'DRINKS#QUALITY': 'positive'}]
"vị_trí các bạn chạy ngô thời nhiệm hoặc đbp quẹo vào nha , con đường đẹp và dễ tìm .",['LOCATION#GENERAL'],[{'LOCATION#GENERAL': 'positive'}]
"nhà_hàng hương cau này nấu mấy món ăn ngon cực_kì luôn , mình rất thích .",['FOOD#QUALITY'],[{'FOOD#QUALITY': 'positive'}]
"giá_cả không rẻ nhưng mình vẫn cảm_thấy thoải_mái khi mua vì chất_lượng rất tốt , tiền_nào_của_nấy thôi .","['RESTAURANT#GENERAL', 'RESTAURANT#PRICES']","[{'RESTAURANT#GENERAL': 'positive'}, {'RESTAURANT#PRICES': 'negative'}]"
quán là nhà_hàng chính của khách_sạn .,['RESTAURANT#GENERAL'],[{'RESTAURANT#GENERAL': 'neutral'}]
"kiểu chụp ưa_thích của mình là từ trên xuống , nên ánh đèn nvậy thì ko đủ as cho mình chụp .",['AMBIENCE#GENERAL'],[{'AMBIENCE#GENERAL': 'negative'}]
quán mới mở đối_diện trường đh dược .,"['RESTAURANT#GENERAL', 'LOCATION#GENERAL']","[{'RESTAURANT#GENERAL': 'neutral'}, {'LOCATION#GENERAL': 'neutral'}]"
"nhân_viên thái_độ quá tệ , mình xin rau_sống nhưng cho quá tằn_tiện .","['SERVICE#GENERAL', 'FOOD#STYLE&OPTIONS']","[{'SERVICE#GENERAL': 'negative'}, {'FOOD#STYLE&OPTIONS': 'negative'}]"
so với bên koi thì cách uống bên này dở và vị nặng quá .,['DRINKS#QUALITY'],[{'DRINKS#QUALITY': 'negative'}]
giá thì vẫn là mặt_bằng chung của chuỗi hl .,['RESTAURANT#PRICES'],[{'RESTAURANT#PRICES': 'neutral'}]
"nhìn_chung thì giá ở đây bình_dân , k người .",['RESTAURANT#PRICES'],[{'RESTAURANT#PRICES': 'neutral'}]
bạn nhân_viên nữ phục_vụ_bàn mình siêu đáng yêu .,['SERVICE#GENERAL'],[{'SERVICE#GENERAL': 'positive'}]
"phầb đầy_đủ có thịt , nem nướng , chả_giò bự tổ , mà chỉ có thoai .","['FOOD#STYLE&OPTIONS', 'FOOD#PRICES']","[{'FOOD#STYLE&OPTIONS': 'positive'}, {'FOOD#PRICES': 'positive'}]"
"quán gần ngay đoạn bt , vincom , đường chiều nhưng đi qua kiểu gì cũng thấy ngay vì đèn_điện tầng sáng_trưng góc luôn .",['LOCATION#GENERAL'],[{'LOCATION#GENERAL': 'positive'}]
gọi món gì cũng đem lên nhanh lắm .,['SERVICE#GENERAL'],[{'SERVICE#GENERAL': 'positive'}]
"chỉ là bát nước_mắm có ớt , có tỏi mà đủ vị chua_cay ngọt chấm miếng cá sao mà hoàn_hảo mà vừa_miệng đến thế .","['FOOD#STYLE&OPTIONS', 'FOOD#QUALITY']","[{'FOOD#STYLE&OPTIONS': 'neutral'}, {'FOOD#QUALITY': 'positive'}]"
"thiệt , dở không kể đâu cho hết , mặc_dù mình là con_người cực_kì dễ_tính trong việc uống bất_kì loại tsua nào .",['DRINKS#QUALITY'],[{'DRINKS#QUALITY': 'negative'}]
có hôm thì nhân_viên dể thương vô_cùng .,['SERVICE#GENERAL'],[{'SERVICE#GENERAL': 'positive'}]
mình thích bánh này nhất ở starbucks .,['FOOD#QUALITY'],[{'FOOD#QUALITY': 'positive'}]
"ngoài_ra quán có bán thêm sữa_đậu_nành các thứ nữa , rất chất_lượng .","['DRINKS#QUALITY', 'DRINKS#STYLE&OPTIONS']","[{'DRINKS#QUALITY': 'positive'}, {'DRINKS#STYLE&OPTIONS': 'positive'}]"
"tuy_nhiên phần rau trong bánh nên để cả chiếc lá to thì sẽ đẹp hơn , rau các bạn cắt nhỏ thành từng miếng bé xíu , mở lớp giấy bọc bánh ra đã thấy rơi ra nhiều rồi , gà trong burger ướp hơi bị mặn chút .","['FOOD#STYLE&OPTIONS', 'FOOD#QUALITY']","[{'FOOD#STYLE&OPTIONS': 'neutral'}, {'FOOD#QUALITY': 'neutral'}]"
"không_gian nhỏ và ít bàn , khách đông chẳng có chỗ ngồi hic .",['AMBIENCE#GENERAL'],[{'AMBIENCE#GENERAL': 'negative'}]
ko gian rộng_rãi thoải_mái hơn chi_nhánh bên phố huế nhé .,['AMBIENCE#GENERAL'],[{'AMBIENCE#GENERAL': 'positive'}]
nhiệt_tình đón_tiếp và phục_vụ dù mình dùng voucher vẫn rất niềm_nở .,['SERVICE#GENERAL'],[{'SERVICE#GENERAL': 'positive'}]
"món thạch signature ăn cũng rất ổn , mỗi_tội người ăn phần bị ngán , phải kêu gói mang về .",['FOOD#QUALITY'],[{'FOOD#QUALITY': 'neutral'}]
"nước canh với bún ăn cùng rau_sống , nói_chung không phải điểm nhưng với giá k suất thì cũng là món ăn nên thử nếu tiện đường🤣🤣 .","['FOOD#PRICES', 'FOOD#QUALITY', 'FOOD#STYLE&OPTIONS']","[{'FOOD#PRICES': 'neutral'}, {'FOOD#QUALITY': 'positive'}, {'FOOD#STYLE&OPTIONS': 'neutral'}]"
gọi sữa_chua đá .,['DRINKS#STYLE&OPTIONS'],[{'DRINKS#STYLE&OPTIONS': 'neutral'}]
phần khong gian mới làm bằng cửa_kính nên khá là sáng .,['AMBIENCE#GENERAL'],[{'AMBIENCE#GENERAL': 'positive'}]
"nên đặt bàn trước vào cuối tuần để tránh phải đợi , nhân_viên nhiệt_tình , dễ_thương .",['SERVICE#GENERAL'],[{'SERVICE#GENERAL': 'positive'}]
"quán rộng_rãi , trong phòng lạnh khách hút thuốc nhiều quá nên mình ra ngoài ngồi .",['AMBIENCE#GENERAL'],[{'AMBIENCE#GENERAL': 'positive'}]
"bên trong có bàn ngồi nhóm ng , hoặc bàn dài ngồi ngắm đường_phố .",['RESTAURANT#MISCELLANEOUS'],[{'RESTAURANT#MISCELLANEOUS': 'neutral'}]
"có pé em đồng_nghiệp mua cho ly trà xanh sữa , trà_ngon , thơm , đường nhưng bị đá tan nên không ngọt quá .","['DRINKS#QUALITY', 'DRINKS#STYLE&OPTIONS']","[{'DRINKS#QUALITY': 'positive'}, {'DRINKS#STYLE&OPTIONS': 'neutral'}]"
"mình đi người chọn , thai tea kakigoru , toast mixed berries , greentea milkfoam mà tổng bill có hơn à , giá rẻ cho khu quận là thích rồi .","['DRINKS#PRICES', 'DRINKS#STYLE&OPTIONS']","[{'DRINKS#PRICES': 'positive'}, {'DRINKS#STYLE&OPTIONS': 'neutral'}]"
"quán chỉ bán từ chiều tầm h đến tối khuya mới nghỉ , quán luôn lai_rai nên đến khi nào cũng được phục_vụ tận_tình , chỉ , phut là có ngay tô bún riêu yêu thích rồi .","['RESTAURANT#GENERAL', 'SERVICE#GENERAL']","[{'RESTAURANT#GENERAL': 'neutral'}, {'SERVICE#GENERAL': 'positive'}]"
"bọn mình gọi cốc sữa_tươi chân châu đường đen , giống alley nhưng sữa không thơm bằng .",['DRINKS#QUALITY'],[{'DRINKS#QUALITY': 'neutral'}]
"không_gian sạch_sẽ , mát_mẻ .",['AMBIENCE#GENERAL'],[{'AMBIENCE#GENERAL': 'positive'}]
"thêm thái_độ nhân_viên mắc_dịch mắc gió thôi chả dám quay lại , uống thử cho biết thôi .",['SERVICE#GENERAL'],[{'SERVICE#GENERAL': 'negative'}]
vâng mang_tiếng là trà sữa chocolate nhưng uống thì nhạt_nhẽo không_thể tả nổi .,['DRINKS#QUALITY'],[{'DRINKS#QUALITY': 'negative'}]
phần dưới ly là sữa_chua hy_lạp .,['DRINKS#STYLE&OPTIONS'],[{'DRINKS#STYLE&OPTIONS': 'neutral'}]
à nghe bảo quán còn có món từ bơ khá ok có dịp nhất_định sẽ quay lại thử .,['DRINKS#QUALITY'],[{'DRINKS#QUALITY': 'positive'}]
ko gian quán có tầng với cách bài_trí khác nhau siêu đẹp .,['AMBIENCE#GENERAL'],[{'AMBIENCE#GENERAL': 'positive'}]
có dịp sẽ thử lại các loại khác ở đây vậy .,['RESTAURANT#GENERAL'],[{'RESTAURANT#GENERAL': 'neutral'}]
"món bánh larva tráng_miệng siêu ngon luôn , vỏ giòn , socola ấm chảy ra , ăn kèm với dâu chua_chua .","['FOOD#QUALITY', 'FOOD#STYLE&OPTIONS']","[{'FOOD#QUALITY': 'positive'}, {'FOOD#STYLE&OPTIONS': 'neutral'}]"
cả socola nóng và latte vị cookies mình đều thấy ngon .,"['DRINKS#STYLE&OPTIONS', 'DRINKS#QUALITY']","[{'DRINKS#STYLE&OPTIONS': 'neutral'}, {'DRINKS#QUALITY': 'positive'}]"
đồ_ăn của quán khá ngon .,['FOOD#QUALITY'],[{'FOOD#QUALITY': 'positive'}]
"chắc cũng vì nó ngon , giá tuy khá cao nhưng bù lại chất_lượng đảm_bảo là những yếu_tố giúp gong cha vẫn sốt xìn xịt khi ở giữa một thế_giới đâu_đâu cũng có trà sữa như hiện_nay .","['RESTAURANT#PRICES', 'RESTAURANT#GENERAL']","[{'RESTAURANT#PRICES': 'negative'}, {'RESTAURANT#GENERAL': 'positive'}]"
"giá cũng ok , không quá cao mà đang có khuyến_mãi trên deli nữa , tận nên tranh_thủ .","['RESTAURANT#PRICES', 'RESTAURANT#MISCELLANEOUS']","[{'RESTAURANT#PRICES': 'positive'}, {'RESTAURANT#MISCELLANEOUS': 'positive'}]"
giá_cả tầm trung .,['RESTAURANT#PRICES'],[{'RESTAURANT#PRICES': 'neutral'}]
"không_gian thì thấy ở ngoài đẹp vào trong lại thấy ko đẹp nữa , ko biết do nhiều người quá nên cảm_giác ngộp hay sao .",['AMBIENCE#GENERAL'],[{'AMBIENCE#GENERAL': 'neutral'}]
"chủ quán nhiệt_tình , nhanh_nhẹn có_điều nấu hơi lâu , kiểu này đông khách là chờ mệt ak .",['SERVICE#GENERAL'],[{'SERVICE#GENERAL': 'positive'}]
mình order cả ly đường thì uống ngọt vừa_miệng mình uống .,"['DRINKS#STYLE&OPTIONS', 'DRINKS#QUALITY']","[{'DRINKS#STYLE&OPTIONS': 'neutral'}, {'DRINKS#QUALITY': 'positive'}]"
không_gian là điểm cộng cực lớn cho quán .,['AMBIENCE#GENERAL'],[{'AMBIENCE#GENERAL': 'positive'}]
giá_cả một bát thui nhưng một đĩa full cá rán chấm nc chấm ăn cực phê .,"['FOOD#PRICES', 'FOOD#QUALITY', 'FOOD#STYLE&OPTIONS']","[{'FOOD#PRICES': 'neutral'}, {'FOOD#QUALITY': 'positive'}, {'FOOD#STYLE&OPTIONS': 'positive'}]"
"với nếu bánh thập_cẩm thì sẽ là gr hay gr gì đó , nhỉnh hơn tí_tẹo thuiii .",['FOOD#STYLE&OPTIONS'],[{'FOOD#STYLE&OPTIONS': 'neutral'}]
"bánh vừa ăn , không quá ngọt .",['FOOD#QUALITY'],[{'FOOD#QUALITY': 'positive'}]
"order trên delivery , order nhanh gọn không phải chờ lâu , không phải xếp_hàng vật vả mới mua được .",['SERVICE#GENERAL'],[{'SERVICE#GENERAL': 'positive'}]
à dunkin vẫn đang chạy chương_trình ngày thứ mấy tặng bấy_nhiêu bánh hoặc đồ uống từ thứ đến thứ trong tuần nên tiết_kiệm đc kha_khá đấy nha .,['RESTAURANT#MISCELLANEOUS'],[{'RESTAURANT#MISCELLANEOUS': 'positive'}]
"đây là lần đầu_tiên mình thưởng_thức qua món bánh waffle này , chất_lượng ổn phết , bánh mềm thơm , ăn cùng kem ngậy ngậy khá hay .","['FOOD#QUALITY', 'FOOD#STYLE&OPTIONS']","[{'FOOD#QUALITY': 'positive'}, {'FOOD#STYLE&OPTIONS': 'positive'}]"
"giá_cả khoảng hơn cho một buổi buffet , nói_chung là khá hợp_lý , ăn no ứ_hự với mức giá đó là chấp_nhận được , không có mắc đâu .",['RESTAURANT#PRICES'],[{'RESTAURANT#PRICES': 'positive'}]
nhà_hàng đương_nhiên phải đắt rồi .,['RESTAURANT#PRICES'],[{'RESTAURANT#PRICES': 'negative'}]
"quán khá rộng , mát_mẻ , mình ngồi ở tầng trên cho thoáng .",['AMBIENCE#GENERAL'],[{'AMBIENCE#GENERAL': 'positive'}]
"đồ nhúng lâu chủ_yếu rau nấm , bò ba chỉ hay bò nạc thì canh canh rình mãi mới có .",['FOOD#STYLE&OPTIONS'],[{'FOOD#STYLE&OPTIONS': 'neutral'}]
"bạn mình có inbox với shop về vđề này nhưng có_vẻ thái_độ của shop ko đc thân_thiện lắm , kiểu như phủi trách_nhiệm và đổ lỗi tụi mình kiếm_chuyện nên mình nghĩ mọi ng nên thận_trọng khi mua hàng để tránh ôm cục tức như mình .",['SERVICE#GENERAL'],[{'SERVICE#GENERAL': 'negative'}]
"quán phục_vụ thì nhiệt_tình nhưng_mà lâu_lắc quá , mình gọi cho đem rau trụng mà hồi lu_bu quên luôn của mình luôn .",['SERVICE#GENERAL'],[{'SERVICE#GENERAL': 'negative'}]
chất_lượng của phúc long thì khỏi phải bàn rồi .,['RESTAURANT#GENERAL'],[{'RESTAURANT#GENERAL': 'positive'}]
"giá_cả khá cao , nhưng vài món chấp_nhận được .",['RESTAURANT#PRICES'],[{'RESTAURANT#PRICES': 'negative'}]
khoai chiên ngon và đủ vị .,['FOOD#QUALITY'],[{'FOOD#QUALITY': 'positive'}]
nếu bạn băn_khoăn còn chưa biết chọn thức uống nào thì đây sẽ là một gợi_ý chân_thành và tuyệt_vời cho bạn đó nha,['DRINKS#QUALITY'],[{'DRINKS#QUALITY': 'positive'}]
"gợi_ý phong_cách quán rất nhiều kiểu , mình chưa có điều_kiện để tham_quan hết .",['AMBIENCE#GENERAL'],[{'AMBIENCE#GENERAL': 'positive'}]
mình dặn medium rare nhưng quán làm thành medium luôn mà gọi làm lại thì mất_công chờ lâu nên mình ăn luôn .,['SERVICE#GENERAL'],[{'SERVICE#GENERAL': 'negative'}]
"gọi thêm carbonara ăn ổn , khá hợp kiểu carbo .",['FOOD#QUALITY'],[{'FOOD#QUALITY': 'positive'}]
"mình đã vào lần và cảm_thấy rất thích không_gian của quán , phục_vụ cũng rất dễ_thương có_điều món trà ô long không đựơc ngon lắm .","['AMBIENCE#GENERAL', 'SERVICE#GENERAL', 'DRINKS#QUALITY']","[{'AMBIENCE#GENERAL': 'positive'}, {'SERVICE#GENERAL': 'positive'}, {'DRINKS#QUALITY': 'neutral'}]"
"sốt gà nấm mềm thơm , sốt kem ngậy có vị ngọt dễ vào .","['FOOD#STYLE&OPTIONS', 'FOOD#QUALITY']","[{'FOOD#STYLE&OPTIONS': 'neutral'}, {'FOOD#QUALITY': 'positive'}]"
nào_là hay có game và các chương_trình compo và bún_bò thành_viên nữa chứ .,['RESTAURANT#MISCELLANEOUS'],[{'RESTAURANT#MISCELLANEOUS': 'positive'}]
"ấn_tượng đầu_tiên là nhân_viên dù ở trong quán nhưng để_ý khách_hàng tới , nhanh_chóng mở_cửa chào_đón và chỉ cho mình nơi để xe .",['SERVICE#GENERAL'],[{'SERVICE#GENERAL': 'positive'}]
"à món ăn_ở đây không được nhiều lắm , chất_lượng chỉ tạm thôi , chắc ngày thường sẽ đỡ hơn .","['FOOD#STYLE&OPTIONS', 'FOOD#QUALITY']","[{'FOOD#STYLE&OPTIONS': 'neutral'}, {'FOOD#QUALITY': 'neutral'}]"
nhân_viên chi_nhánh nào cũng đáng yêu và thân_thiện .,['SERVICE#GENERAL'],[{'SERVICE#GENERAL': 'positive'}]
"quán bé bé hoy mà trang_trí xinh lắmm , nước_lọc free , nhân_viên cũng vui_vẻ .","['AMBIENCE#GENERAL', 'SERVICE#GENERAL', 'RESTAURANT#MISCELLANEOUS']","[{'AMBIENCE#GENERAL': 'positive'}, {'SERVICE#GENERAL': 'positive'}, {'RESTAURANT#MISCELLANEOUS': 'positive'}]"
"trà sữa trà xanh trân_châu trắng và đen trà sữa quá béo và ngọt , cảm_giác như vị béo của bột sữa bỏ_quá tay .","['DRINKS#QUALITY', 'DRINKS#STYLE&OPTIONS']","[{'DRINKS#QUALITY': 'negative'}, {'DRINKS#STYLE&OPTIONS': 'neutral'}]"
"vị_trí dễ tìm , giá thì những quán gần khu vự này không rẽ .","['LOCATION#GENERAL', 'RESTAURANT#PRICES']","[{'LOCATION#GENERAL': 'positive'}, {'RESTAURANT#PRICES': 'negative'}]"
"theo mình thì uống đồ uống có váng sữa ở đây là ngon nhất , còn trà ôlong hơi đắng không ngon .",['DRINKS#QUALITY'],[{'DRINKS#QUALITY': 'positive'}]
một like nữa cho quán là loại_hình bình_dân nhưng nói không với rượu_bia .,['RESTAURANT#GENERAL'],[{'RESTAURANT#GENERAL': 'positive'}]
"và đặc_biệt là thái_độ nhân_viên lúc mình vô có một bạn nam lấy order cho mình , đang lấy thì bạn đó đi ra và nhờ một bạn nữ khác thay_thế , trong khi mình đang đứng kế bên thì bạn nam nói với bạn nữ ' nó hỏi có món nào có blueberry không ' .",['SERVICE#GENERAL'],[{'SERVICE#GENERAL': 'negative'}]
"trà gong cha chỗ này mình thấy uống khá ổn , dịch_vụ giao hàng delivery now đúng giờ mặc_dù đang cận tết đường xá nắng_nóng kẹt xe .","['SERVICE#GENERAL', 'DRINKS#QUALITY']","[{'SERVICE#GENERAL': 'positive'}, {'DRINKS#QUALITY': 'neutral'}]"
"còn phô_mai đá xay việt quất cũng ngon , béo nhưng không ngấy , có vị việt quất nữa nên uống cũng ok lắm .",['DRINKS#QUALITY'],[{'DRINKS#QUALITY': 'positive'}]
